nr,name,jahr,studierende_fh
01001,"Flensburg, Stadt",1998,23.2
01001,"Flensburg, Stadt",1999,24.1
01001,"Flensburg, Stadt",2000,25.7
01001,"Flensburg, Stadt",2001,28.9
01001,"Flensburg, Stadt",2002,30.4
01001,"Flensburg, Stadt",2003,32.2
01001,"Flensburg, Stadt",2004,34.1
01001,"Flensburg, Stadt",2005,34.7
01001,"Flensburg, Stadt",2006,35.6
01001,"Flensburg, Stadt",2007,34.9
01001,"Flensburg, Stadt",2008,38.2
01001,"Flensburg, Stadt",2009,41.6
01001,"Flensburg, Stadt",2010,42.8
01001,"Flensburg, Stadt",2011,47.6
01001,"Flensburg, Stadt",2012,48.5
01001,"Flensburg, Stadt",2013,49
01001,"Flensburg, Stadt",2014,49.1
01001,"Flensburg, Stadt",2015,47.7
01001,"Flensburg, Stadt",2016,46.5
01001,"Flensburg, Stadt",2017,44.7
01002,"Kiel, Stadt",1998,22.4
01002,"Kiel, Stadt",1999,22.5
01002,"Kiel, Stadt",2000,23.5
01002,"Kiel, Stadt",2001,24.7
01002,"Kiel, Stadt",2002,25.3
01002,"Kiel, Stadt",2003,26.1
01002,"Kiel, Stadt",2004,26.3
01002,"Kiel, Stadt",2005,23.4
01002,"Kiel, Stadt",2006,22.6
01002,"Kiel, Stadt",2007,22.2
01002,"Kiel, Stadt",2008,22.5
01002,"Kiel, Stadt",2009,23.8
01002,"Kiel, Stadt",2010,25.3
01002,"Kiel, Stadt",2011,27
01002,"Kiel, Stadt",2012,27
01002,"Kiel, Stadt",2013,28.4
01002,"Kiel, Stadt",2014,29.6
01002,"Kiel, Stadt",2015,30.2
01002,"Kiel, Stadt",2016,31.2
01002,"Kiel, Stadt",2017,31.4
01003,"Lübeck, Stadt",1998,10.7
01003,"Lübeck, Stadt",1999,0
01003,"Lübeck, Stadt",2000,10.8
01003,"Lübeck, Stadt",2001,10.9
01003,"Lübeck, Stadt",2002,11
01003,"Lübeck, Stadt",2003,12.8
01003,"Lübeck, Stadt",2004,12.9
01003,"Lübeck, Stadt",2005,15.6
01003,"Lübeck, Stadt",2006,16.7
01003,"Lübeck, Stadt",2007,19.3
01003,"Lübeck, Stadt",2008,19.4
01003,"Lübeck, Stadt",2009,19.7
01003,"Lübeck, Stadt",2010,21.1
01003,"Lübeck, Stadt",2011,21.5
01003,"Lübeck, Stadt",2012,20.5
01003,"Lübeck, Stadt",2013,20.2
01003,"Lübeck, Stadt",2014,20.5
01003,"Lübeck, Stadt",2015,20.5
01003,"Lübeck, Stadt",2016,22
01003,"Lübeck, Stadt",2017,22.7
01004,"Neumünster, Stadt",1998,0
01004,"Neumünster, Stadt",1999,0
01004,"Neumünster, Stadt",2000,0
01004,"Neumünster, Stadt",2001,0
01004,"Neumünster, Stadt",2002,0
01004,"Neumünster, Stadt",2003,0
01004,"Neumünster, Stadt",2004,0
01004,"Neumünster, Stadt",2005,0
01004,"Neumünster, Stadt",2006,0
01004,"Neumünster, Stadt",2007,0
01004,"Neumünster, Stadt",2008,0
01004,"Neumünster, Stadt",2009,0
01004,"Neumünster, Stadt",2010,0
01004,"Neumünster, Stadt",2011,0
01004,"Neumünster, Stadt",2012,0
01004,"Neumünster, Stadt",2013,0
01004,"Neumünster, Stadt",2014,0
01004,"Neumünster, Stadt",2015,0
01004,"Neumünster, Stadt",2016,0
01004,"Neumünster, Stadt",2017,0
01051,Dithmarschen,1998,4.4
01051,Dithmarschen,1999,4.5
01051,Dithmarschen,2000,4.8
01051,Dithmarschen,2001,5.3
01051,Dithmarschen,2002,5.3
01051,Dithmarschen,2003,5.8
01051,Dithmarschen,2004,5.2
01051,Dithmarschen,2005,6.3
01051,Dithmarschen,2006,6.5
01051,Dithmarschen,2007,7.7
01051,Dithmarschen,2008,8
01051,Dithmarschen,2009,8.3
01051,Dithmarschen,2010,8.6
01051,Dithmarschen,2011,9
01051,Dithmarschen,2012,9.9
01051,Dithmarschen,2013,10.9
01051,Dithmarschen,2014,11.2
01051,Dithmarschen,2015,11.9
01051,Dithmarschen,2016,13.5
01051,Dithmarschen,2017,13.7
01053,Herzogtum Lauenburg,1998,0
01053,Herzogtum Lauenburg,1999,0
01053,Herzogtum Lauenburg,2000,0
01053,Herzogtum Lauenburg,2001,0
01053,Herzogtum Lauenburg,2002,0
01053,Herzogtum Lauenburg,2003,0
01053,Herzogtum Lauenburg,2004,0
01053,Herzogtum Lauenburg,2005,0
01053,Herzogtum Lauenburg,2006,0
01053,Herzogtum Lauenburg,2007,0
01053,Herzogtum Lauenburg,2008,0
01053,Herzogtum Lauenburg,2009,0
01053,Herzogtum Lauenburg,2010,0
01053,Herzogtum Lauenburg,2011,0
01053,Herzogtum Lauenburg,2012,0
