nr,name,jahr,studierende_insg
01001,"Flensburg, Stadt",1995,56.8
01001,"Flensburg, Stadt",1996,50.7
01001,"Flensburg, Stadt",1997,49.5
01001,"Flensburg, Stadt",1998,48.8
01001,"Flensburg, Stadt",1999,52.9
01001,"Flensburg, Stadt",2000,56.9
01001,"Flensburg, Stadt",2001,64.5
01001,"Flensburg, Stadt",2002,70.7
01001,"Flensburg, Stadt",2003,76.9
01001,"Flensburg, Stadt",2004,81.6
01001,"Flensburg, Stadt",2005,85.1
01001,"Flensburg, Stadt",2006,85
01001,"Flensburg, Stadt",2007,82.4
01001,"Flensburg, Stadt",2008,82.9
01001,"Flensburg, Stadt",2009,85.3
01001,"Flensburg, Stadt",2010,87.4
01001,"Flensburg, Stadt",2011,100.8
01001,"Flensburg, Stadt",2012,104.1
01001,"Flensburg, Stadt",2013,106.3
01001,"Flensburg, Stadt",2014,108.4
01001,"Flensburg, Stadt",2015,107.5
01001,"Flensburg, Stadt",2016,107.4
01001,"Flensburg, Stadt",2017,109
01002,"Kiel, Stadt",1995,113.4
01002,"Kiel, Stadt",1996,110.7
01002,"Kiel, Stadt",1997,112.2
01002,"Kiel, Stadt",1998,110.4
01002,"Kiel, Stadt",1999,108.2
01002,"Kiel, Stadt",2000,106.4
01002,"Kiel, Stadt",2001,107.4
01002,"Kiel, Stadt",2002,109.5
01002,"Kiel, Stadt",2003,112.7
01002,"Kiel, Stadt",2004,115.8
01002,"Kiel, Stadt",2005,116.5
01002,"Kiel, Stadt",2006,117.1
01002,"Kiel, Stadt",2007,117.8
01002,"Kiel, Stadt",2008,117.7
01002,"Kiel, Stadt",2009,121.7
01002,"Kiel, Stadt",2010,125.8
01002,"Kiel, Stadt",2011,131.9
01002,"Kiel, Stadt",2012,130.3
01002,"Kiel, Stadt",2013,131.8
01002,"Kiel, Stadt",2014,134.7
01002,"Kiel, Stadt",2015,135.6
01002,"Kiel, Stadt",2016,137.8
01002,"Kiel, Stadt",2017,140.6
01003,"Lübeck, Stadt",1995,24.7
