Kennziffer;Raumeinheit;Aggregat;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH;Studierende an FH
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"56,8";"50,7";"49,5";"48,8";"52,9";"56,9";"64,5";"70,7";"76,9";"81,6";"85,1";"85,0";"82,4";"82,9";"85,3";"87,4";"100,8";"104,1";"106,3";"108,4";"107,5";"107,4";"109,0";"23,2";"24,1";"25,7";"28,9";"30,4";"32,2";"34,1";"34,7";"35,6";"34,9";"38,2";"41,6";"42,8";"47,6";"48,5";"49,0";"49,1";"47,7";"46,5";"44,7"
"01002";"Kiel, Stadt";"krsfr. Stadt";"113,4";"110,7";"112,2";"110,4";"108,2";"106,4";"107,4";"109,5";"112,7";"115,8";"116,5";"117,1";"117,8";"117,7";"121,7";"125,8";"131,9";"130,3";"131,8";"134,7";"135,6";"137,8";"140,6";"22,4";"22,5";"23,5";"24,7";"25,3";"26,1";"26,3";"23,4";"22,6";"22,2";"22,5";"23,8";"25,3";"27,0";"27,0";"28,4";"29,6";"30,2";"31,2";"31,4"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"24,7";"24,3";"24,3";"24,0";"13,9";"25,1";"25,7";"25,9";"28,4";"28,7";"31,6";"33,3";"36,0";"36,5";"37,9";"40,2";"41,8";"41,5";"41,9";"42,5";"42,8";"46,7";"49,2";"10,7";"0,0";"10,8";"10,9";"11,0";"12,8";"12,9";"15,6";"16,7";"19,3";"19,4";"19,7";"21,1";"21,5";"20,5";"20,2";"20,5";"20,5";"22,0";"22,7"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"01051";"Dithmarschen";"Landkreis";"1,3";"3,0";"3,8";"4,4";"4,5";"4,8";"5,3";"5,3";"5,8";"5,2";"6,3";"6,5";"7,7";"8,0";"8,3";"8,6";"9,0";"9,9";"10,9";"11,2";"11,9";"13,5";"13,7";"4,4";"4,5";"4,8";"5,3";"5,3";"5,8";"5,2";"6,3";"6,5";"7,7";"8,0";"8,3";"8,6";"9,0";"9,9";"10,9";"11,2";"11,9";"13,5";"13,7"
"01053";"Herzogtum Lauenburg";"Landkreis";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"01054";"Nordfriesland";"Landkreis";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"01055";"Ostholstein";"Landkreis";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"01056";"Pinneberg";"Landkreis";"4,9";"5,1";"5,4";"5,7";"3,5";"6,6";"6,9";"6,8";"15,4";"14,3";"14,0";"13,4";"11,5";"11,9";"13,1";"13,4";"14,0";"13,8";"13,8";"9,1";"9,8";"10,6";"11,1";"5,7";"3,5";"6,6";"6,9";"6,8";"15,4";"14,3";"14,0";"13,4";"11,5";"11,9";"13,1";"13,4";"14,0";"13,8";"13,8";"9,1";"3,8";"10,6";"11,1"
"01057";"Plön";"Landkreis";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"01058";"Rendsburg-Eckernförde";"Landkreis";"25,7";"23,0";"18,1";"16,3";"15,5";"14,5";"14,1";"14,4";"4,2";"4,0";"3,5";"3,2";"2,9";"2,5";"2,6";"2,2";"2,2";"2,5";"2,7";"2,9";"2,9";"3,9";"4,5";"11,8";"11,5";"10,8";"10,1";"10,3";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"01059";"Schleswig-Flensburg";"Landkreis";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
